내용링크,제목,문제,정답 비율,문제번호,한글유무,level,분류,별칭
/problem/1596,영식함수,"적어도 두 자리 이상의 어떤 자연수 N이 있을 때, 영식함수 F는 다음과 같이 정의할 수 있다.F(N) = 서로 인접한 자리수의 숫자의 차이를 큰 자리수부터 차례대로 쓴 수.예를 들어, F(5913) = 482, F(1198) = 081 = 81, F(666) = 00 = 0 이다.영식이는 영식함수를 이용해서 수열을 하나 만들 수 있는데, N, F(N), F(F(N)), .... 와 같이 한자리 숫자가 나타날 때 까지 수열을 만들 수 있다. 마지막 한자리 숫자를 숫자 N의 지문이라고 부른다. 예를 들어, N=5913일 때 얻을 수 있는 수열은 5913, 482, 46, 2 이다. 5913의 지문은 2이다.어떤 숫자를 영식함수에 넣고 돌렸을 때, 지문이 7이 나오는 수를 행운의 수라고 한다.A보다 크거나 같고, B보다 작거나 같은 행운의 수의 개수를 구하는 프로그램을 작성하시오.A보다 크거나 같고, B보다 작거나 같은 행운의 수의 개수를 출력한다.",38.462%,1596,1,0.0,0,
/problem/1632,Line Fighter,"동물원에서 막 탈출한 원숭이 한 마리가 세상구경을 하고 있다. 그는 수학을 매우 좋아하는 원숭이였다. 그래서 그는 N개의 직선을 가지고 기발한 문제를 생각해냈다.문제는 이렇다. 좌표평면상에 N개의 직선과 상수 K가 주어진다. 직선은 모두 fi(x) = ai * x + bi의 꼴로 나타낼 수 있다. 그랬을 때 함수 g(x)를 {f1(x), f2(x), ..., fN(x)}의 중간값으로 정의하면, g(x) = K가 되는 x를 모두 찾는 문제이다.첫째 줄에 g(x) = K 인 x의 구간의 시작과 끝을 출력한다. 각 수는 소수점 넷째자리에서 반올림하여 출력한다. 만약 x가 무한대로 발산하는 경우, 양의 무한대는 +inf, 음의 무한대는 -inf 로 출력하면 된다. g(x) = K를 만족하는 x가 존재하지 않는다면 ""impossible""을 출력하면 된다. 답이 되는 구간이 1개 이하인 경우만 입력으로 들어온다.",15.152%,1632,1,19.0,"구현,수학,정렬,",
/problem/1651,숌 코드,"영식이는 민식이가 괴롭힐 때, 동생 하영이에게 문자메시지를 보내서 도움을 요청한다. 민식이는 영식이의 이러한 행동을 알아채고 영식이의 모든 문자메시지를 감시하기 시작했다. 영식이는 동생과의 문자메시지를 민식이에게 들키기 싫어서 무엇인가 비밀 코드를 만들고 싶어했다. 마침 영식이의 왼쪽, 왼쪽 자리에 앉아있는 다솜이가 새로운 문자열 인코딩 방법을 개발했다. 다솜이의 새로운 문자열 인코딩 방법으로 문자열을 코드로 변환한 것을 숌 코드라고 한다.숌 코드는 숌 코드 인코딩방법으로 문자를 코드로 바꾼다. 인코딩 방법은 알파벳의 집합 S가 주어졌을 때, 집합에 속하는 각 알파벳이 숌 코드에 일치하는 구조로 이루어져 있다. 이때, 어떤 알파벳과 코드를 연결시켜주는 함수를 이용한다고 생각하면 쉽다. 그리고, 코드는 항상 0과 1로만 이루어져 있다. 코드가 비어있을 수도 있다.예를 들어 S={a,b,c,d}이고, 알파벳을 코드로 바꿔주는 함수 f과 다음과 같이 정의되어있다고 할 수 있다. f(a) = 1, f(b) = 1010, f(c) = 01, f(d) = 10101함수 f 속에는 반드시 알파벳 한 글자만 들어가는 것이 아니라, 여러 문자가 계속해서 들어갈 수 있다. 이때, 함수는 주어진 문자열을 앞에서부터 차례대로 코드로 바꿔주어 이를 합치는 형식으로 작동한다. 따라서, 위의 예제에서 f(cac) = 01101이다.만약 어떤 코드를 두 개의 문자열로 해석할 수 있으면, 이 코드를 애매한 코드라고 한다. 영식이는 애매한 코드를 사용하지 않는다고 한다.만약 어떤 코드를 세 개 이상의 문자열로 해석할 수 있으면, 이 코드를 정말 애매한 코드라고 한다. 예를 들어, 위의 예제에서 애매한 코드는 10101이다. 10101은 ba, acc, d 로 해석할 수 있다.입력으로 코드가 주어진다. 코드는 0과 1로만 이루어져 있다. 영식이는 어떤 문자열 S를 숌 코드 인코딩 방법을 이용해서 코드로 바꾸려고 한다. 다솜이가 개발한 인코딩방법은 아직 불완전하다. 다솜이가 할 일은 영식이가 코드로 인코딩해서 보낸 문자메시지의 내용을 3개 혹은 그 이상으로 문자열로 바꿀 수 있는지 확인하는 작업이다.코드가 주어졌을 때, 3개 이상의 문자열로 바꿀 수 있는 숌 코드의 가장 짧은 길이를 구하는 프로그램을 작성하시오.첫째 줄에 세 개 이상의 문자열로 해석할 수 있는 숌 코드의 최소 길이를 출력한다. 만약 그러한 코드가 없다면 -1을 출력한다.",16.667%,1651,1,0.0,0,
/problem/1786,찾기,"워드프로세서 등을 사용하는 도중에 찾기 기능을 이용해 본 일이 있을 것이다. 이 기능을 여러분이 실제로 구현해 보도록 하자.두 개의 문자열 P와 T에 대해, 문자열 P가 문자열 T 중간에 몇 번, 어느 위치에서 나타나는지 알아내는 문제를 '문자열 매칭'이라고 한다. 워드프로세서의 찾기 기능은 이 문자열 매칭 문제를 풀어주는 기능이라고 할 수 있다. 이때의 P는 패턴이라고 부르고 T는 텍스트라고 부른다.편의상 T의 길이를 n, P의 길이를 m이라고 하자. 일반적으로, n ≥ m이라고 가정해도 무리가 없다.  n<m이면 어차피 P는 T중간에 나타날 수 없기 때문이다. 또, T의 i번째 문자를 T[i]라고 표현하도록 하자. 그러면 물론, P의 i번째 문자는 P[i]라고 표현된다.      1 2 3 4 5 6 7 8 9 …T : [ A B C D A B C D A B D E ]      | | | | | | XP : [ A B C D A B D ]      1 2 3 4 5 6 7문자열 P가 문자열 T 중간에 나타난다는 것, 즉 문자열 P가 문자열 T와 매칭을 이룬다는 것이 어떤 것인지 위와 아래의 두 예를 통해 알아보자. 위의 예에서 P는, T의 1번 문자에서 시작하는 매칭에 실패했다. T의 7번 문자 T[7]과, P의 7번 문자 P[7]이 서로 다르기 때문이다.그러나 아래의 예에서 P는, T의 5번 문자에서 시작하는 매칭에 성공했다. T의 5～11번 문자와 P의 1～7번 문자가 서로 하나씩 대응되기 때문이다.      1 2 3 4 5 6 7 8 9 …T : [ A B C D A B C D A B D E ]              | | | | | | |P :         [ A B C D A B D ]              1 2 3 4 5 6 7가장 단순한 방법으로, 존재하는 모든 매칭을 확인한다면, 시간복잡도가 어떻게 될까? T의 1번 문자에서 시작하는 매칭이 가능한지 알아보기 위해서, T의 1～m번 문자와 P의 1～m번 문자를 비교한다면 최대 m번의 연산이 필요하다. 이 비교들이 끝난 후, T의 2번 문자에서 시작하는 매칭이 가능한지 알아보기 위해서, T의 2～m+1번 문자와 P의 1～m번 문자를 비교한다면 다시 최대 m번의 연산이 수행된다. 매칭은 T의 n-m+1번 문자에서까지 시작할 수 있으므로, 이러한 방식으로 진행한다면 O( (n-m+1) × m ) = O(nm) 의 시간복잡도를 갖는 알고리즘이 된다.더 좋은 방법은 없을까? 물론 있다. 위에 제시된 예에서, T[7] ≠ P[7] 이므로 T의 1번 문자에서 시작하는 매칭이 실패임을 알게 된 순간으로 돌아가자. 이때 우리는 매칭이 실패라는 사실에서, T[7] ≠ P[7] 라는 정보만을 얻은 것이 아니다. 오히려 i=1…6에 대해 T[i] = P[i] 라고 하는 귀중한 정보를 얻지 않았는가? 이 정보를 십분 활용하면, O(n)의 시간복잡도 내에 문자열 매칭 문제를 풀어내는 알고리즘을 설계할 수 있다.P 내부에 존재하는 문자열의 반복에 주목하자. P에서 1, 2번 문자 A, B는 5, 6번 문자로 반복되어 나타난다. 또, T의 1번 문자에서 시작하는 매칭이 7번 문자에서야 실패했으므로 T의 5, 6번 문자도 A, B이다.따라서 T의 1번 문자에서 시작하는 매칭이 실패한 이후, 그 다음으로 가능한 매칭은 T의 5번 문자에서 시작하는 매칭임을 알 수 있다! 더불어, T의 5～6번 문자는 P의 1～2번 문자와 비교하지 않아도, 서로 같다는 것을 이미 알고 있다! 그러므로 이제는 T의 7번 문자와 P의 3번 문자부터 비교해 나가면 된다.이제 이 방법을 일반화 해 보자. T의 i번 문자에서 시작하는 매칭을 검사하던 중 T[i+j-1] ≠ P[j]임을 발견했다고 하자. 이렇게 P의 j번 문자에서 매칭이 실패한 경우, P[1…k] = P[j-k…j-1]을 만족하는 최대의 k(≠j-1)에 대해 T의 i+j-1번 문자와 P의 k+1번 문자부터 비교를 계속해 나가면 된다.이 최대의 k를 j에 대한 함수라고 생각하고, 1～m까지의 각 j값에 대해 최대의 k를 미리 계산해 놓으면 편리할 것이다. 이를 전처리 과정이라고 부르며, O(m)에 완료할 수 있다.이러한 원리를 이용하여, T와 P가 주어졌을 때, 문자열 매칭 문제를 해결하는 프로그램을 작성하시오.첫째 줄에, T 중간에 P가 몇 번 나타나는지를 나타내는 음이 아닌 정수를 출력한다. 둘째 줄에는 P가 나타나는 위치를 차례대로 공백으로 구분해 출력한다. 예컨대, T의 i～i+m-1번 문자와 P의 1～m번 문자가 차례로 일치한다면, i를 출력하는 식이다.",29.846%,1786,1,16.0,"KMP,문자열,","스트링,"
/problem/2180,소방서의 고민,"여기는 울릉도 소방서이다. 소방차가 한 대 밖에 없어서 여러 차례 중앙 정부에 소방차 증차를 요청하였으나 아직도 증차가 실현되지 않고 있다. 그런데 오늘 믿어지지 않는 엄청난 일이 발생하고 말았다. 여러 건의 화재가 동시에 발생한 것이다. 소방서의 고민은 한 대의 소방차를 이용하여 어떤 순서로 화재를 진압하는 것이 모든 화재를 진압하는데 걸리는 시간을 최소화하느냐는 것이다. 지체할 시간이 없다. 그 순서를 아주 빨리 정해야 한다. 당신의 도움이 필요하다.다행히 다음과 같은 정보를 얻을 수 있다. 한 화재 사건에 소방차 도착이 늦으면 늦을수록 화재를 진압하는데 걸리는 시간이 같거나 길어진다. 화재의 종류에 따라서, 화재 발생 후 소방차가 t초 후에 도착하면 화재를 진압하는데 걸리는 시간은 at +b와 같이 1차 함수의 형태로 나타나게 된다. 물론 a와 b는 음수는 아니다. 화재 종류별로 a, b의 값이 일반적으로 다르게 나타나게 된다.모든 화재 사건은 시각 0에서 발생하였다. 당신은 모든 화재를 진압하는데 걸리는 최소 시간이 얼마인지를 알고 싶다. 소방차의 이동 시간은 고려하지 않고 0으로 가정하며, 한 화재 진압이 완전히 끝나기 전에는 소방차가 다른 화재 현장으로 이동할 수 없다.첫째 줄에 모든 화재를 진압하는데 걸리는 최소 시간을 40,000으로 나눈 나머지를 출력한다.",18.868%,2180,1,16.0,"그리디 알고리즘,정렬,","탐욕법,"
/problem/2195,문자열 복사,"어떤 원본 문자열 S가 주어졌을 때, 이 문자열의 부분을 복사하여 P라는 새로운 문자열을 만들려고 한다. 복사를 할 때에는 copy(s, p) 이라는 함수를 이용하는데, 이는 S의 s번 문자부터 p개의 문자를 P에 복사해서 붙인다는 의미이다.예를 들어 S=""abaabba"", P=""aaabbbabbbaaa""인 경우를 생각해 보자. 이때는 copy(3, 2), copy(4, 3), copy(2, 2), copy(5, 2), copy(2, 3), copy(1, 1) 를 수행하여 P를 만들 수 있다. 각 단계별로 P는 ""aa"", ""aaabb"", ""aaabbba"", …와 같이 변하게 된다.이와 같은 copy 연산을 이용하여 S에서 P를 만들려고 하는데, 이때 가능하면 copy 함수를 조금 사용하려고 한다.S와 P가 주어졌을 때, 필요한 copy 함수의 최소 사용횟수를 구하는 프로그램을 작성하시오.첫째 줄에 copy 함수의 최소 사용횟수를 출력한다.",52.267%,2195,1,11.0,"그리디 알고리즘,문자열,","탐욕법,스트링,"
/problem/2237,수열 축소,"N개의 양수로 이루어진 수열 {A[1], A[2], …, A[N]}이 있다. 이 수열에 A[i]에서 A[i+1]을 빼는 축소 연산을 적용하려 한다. 축소 연산은 CON이라는 함수로 나타낼 수 있으며, CON(A, i)를 수행하면 {A[1], A[2], …, A[i-1], A[i] - A[i+1], A[i+2], …, A[N]}의 수열을 얻는다.이와 같은 축소 연산을 N-1번 적용하면, 수열의 길이가 N-1, N-2, …, 1이 되어 결국에는 한 수만 남게 된다. 이와 같은 축소 연산을 적용하여 T라는 수를 만들 수 있는지 알아보려 한다.예를 들어 {12, 10, 4, 3, 5}라는 수열에 다음과 같은 축소 연산을 적용하면 4를 만들 수 있다.CON( {12, 10, 4, 3, 5}, 2 ) = {12, 6, 3, 5}CON( {12, 6, 3, 5}, 3 ) = {12, 6, -2}CON( {12, 6, -2}, 2 ) = {12, 8}CON( {12, 8}, 1 ) = {4}첫째 줄부터 사용한 순서대로 축소 연산에서의 i를 출력한다. 항상 가능한 경우만 입력으로 주어지며, 답이 여러 개 존재할 경우에는 임의의 하나를 출력하면 된다.",44.624%,2237,1,17.0,"다이나믹 프로그래밍,","동적계획법,동적 계획법,다이나믹프로그래밍,"
/problem/2247,실질적 약수,"두 자연수 A와 B가 있을 때, A = BC를 만족하는 자연수 C를 A의 약수라고 한다. 모든 자연수 N은 1과 자기 자신(N)을 약수로 갖게 된다.실질적 약수(actual divisor)라는 것이 있다. 자연수 N의 약수들 중에서 1과 자기 자신(N)을 제외한 약수를 실질적 약수라고 한다. 따라서 6의 실질적 약수는 2, 3이며, 13의 실질적 약수는 없다.SOD(Sum Of Divisor)라는 함수를 정의하자. SOD(n)은 정수 n의 모든 실질적 약수의 합을 가리킨다. 따라서 SOD(6) = 5이며, SOD(13) = 0이다. 한편, CSOD(Cumulative SOD)라는 함수도 정의해 볼 수 있다. CSOD(n)은 SOD(1) + SOD(2) + … + SOD(n)이라고 하자.CSOD(n)을 구하는 프로그램을 작성하시오.첫째 줄에 CSOD(n)을 1,000,000으로 나눈 나머지를 출력한다.",36.416%,2247,1,11.0,"수학,정수론,",
/problem/2268,수들의 합 7,"N개의 수 A[1], A[2], …, A[N] 이 주어졌을 때, 함수 Sum(i, j)는 A[i] + A[i+1] + … + A[j]를 구하는 함수이다. (i > j일 경우에는 A[j] + A[j+1] + ... + A[i]) A가 주어졌을 때, Sum(i, j)를 구하는 것은 매우 쉬운 문제이다. 이러한 (i, j)가 여러 개 주어졌을 때도 별로 어려운 문제는 아니다.Sum함수와 더불어 Modify라는 함수를 정의하자. Modify(i, k)를 수행하면 A[i] = k가 되는 함수이다. Sum함수와 Modify 함수의 사용 목록이 주어졌을 때, 이에 해당하는 연산을 하는 프로그램을 작성하시오. 두 함수를 섞어서 사용할 수도 있다.Sum 함수의 개수만큼 각 줄에 Sum 함수의 리턴값을 출력한다.",30.432%,2268,1,15.0,"세그먼트 트리,자료 구조,","구간트리,세그트리,fenwick,펜윅,자료구조,자구,"
/problem/2280,정사각형과 점,"[0, 1]×[0, 1]의 정사각형과 그 안(정사각형의 테두리 및 꼭짓점 포함)에 N개의 점들 P[1], P[2], …, P[N]이 있다. 이 점들과 정사각형의 네 꼭짓점을 연결하여 임의의 두 점이 직접 혹은 간접적으로 연결되어 있게 하려 한다. 이와 같이 만든 그래프의 간선의 길이를 합한 것을 Len(P) 라고 정의하자.N개의 점들의 위치를 임의로 바꾸면 Len(P)의 값도 이에 따라 변하게 된다. Len(P)가 최소가 되도록 하는 점들의 집합을 P'라고 하자. 즉, Len을 점들의 집합 P에 대한 함수로 생각했을 때, Len의 최솟값이 Len(P')가 되는 것이다.N개의 점들을 잘 배치하여 Len이 최소가 되도록 할 때, 각각의 점들을 이동시킨 거리가 최소가 되도록 하는 프로그램을 작성하시오.즉, Len(P"")=Len(P')를 만족하는 P""들 중에서, |P[1]-P""[1]| + |P[2]-P""[2]| + … + |P[N]-P""[N]|이 최소가 될 때, 그 최솟값을 구하는 것이다.각 테스트 케이스마다 답을 출력한다. 절대/상대 오차는 10-3까지 허용한다.",66.667%,2280,1,0.0,0,
/problem/2324,이진 행렬,"어떤 n×m(1 ≤ n, m ≤ 100)의 이진 행렬이 있다. 이진 행렬이라는 것은 0과 1로만 된 행렬이라는 뜻이다.이 행렬에서 Reverse(x, y)라는 연산이 정의되어 있다. 행렬의 (x, y)에 원래 저장되어 있던 값을 k라고 하자. 이 함수를 수행하면 (x, y)와 인접(상하좌우)해 있는 칸들 중에서 그 행렬 값이 k인 위치로 퍼져 나가면서, 행렬 값을 1-k(즉, 0을 1로, 1을 0으로)로 바꾼다. x는 행 번호, y는 열 번호이다. 행렬의 행 번호와 열 번호는 1부터 시작한다.예를 들어 11000111과 같은 1×8의 행렬이 있다고 해 보자. Reverse(1,1)을 수행하면 00000111이 되고, Reverse(1,4)를 수행하면 11111111이 된다.이와 같은 Reverse 함수를 최소로 이용하여, 전체 행렬에 저장되어 있는 값을 같은 값(0 또는 1)로 바꾸는 것이 목적이다.첫째 줄에 함수의 호출 회수 K를 출력한다. 다음 K개의 줄에는 x, y를 출력한다. 이는 차례로 Reverse(x, y)의 함수를 호출하였다는 의미이다.",34.615%,2324,1,20.0,"너비 우선 탐색,브루트포스 알고리즘,그래프 이론,그래프 탐색,휴리스틱,","breadthfirst,breadth first,완전탐색,완전 탐색,브루트포스,bruteforce,brute force,완탐,그래프이론,bfs,dfs,"
